"Notion ou terme à définir",Définition,"Autres explications, exemples, etc. (N/A si vide)"
"Serious game","<p dir=""ltr"" style=""text-align:left;"">Objet ou activité mélangeant deux dimensions : une dimension ""sérieuse"" renvoyant à tout type de finalité utilitaire, et une dimension ""ludique"", correspondant à un jeu matérialisé sur tout type de support.</p><p dir=""ltr"" style=""text-align:left;""><br /></p>","<p>L’expression ""Serious Game"" est utilisée dès les années 1970 pour désigner tout type de jeu utilisable dans un but autre que l’amusement.  <br /></p><p>Dans la pratique et par métonymie, l’expression ""Serious Game"" est surtout associée au jeu vidéo sérieux, avec une première occurrence de cette forme moderne dans le jeu vidéo America’s Army, utilisé à partir de 2002 par l’armée américaine comme outil de propagande (advergame) et comme outil de simulation.<br /></p><h4>Quelques catégories de serious games<br /></h4>
<p>Le serious game est un jeu
    qui permet d’allier une intention sérieuse (apprendre, s’entrainer,
    s’informer, progresser, partager, etc.) avec un support ou une activité relevant du divertissement :</p>
<ul>
    <li><strong>advergames</strong> dans le domaine de la publicité, jeux publicitaires pour la promotion d’une marque (souvent sous la forme d’un jeu vidéo ou d’applications)<br /></li>
    <li><strong>edugames</strong> dans le domaine de l’éducation (par exemple Adibou, ou Olympe)</li>
    <li><strong>edumarket games</strong> dans le domaine de la stratégie de communication, pour sensibiliser les utilisateurs à certaines problématiques sociales, environnementales ou humanitaires (exemple : Food Force par l’ONU).<br /></li>
    <li><strong>J</strong><strong>eux de simulation</strong> ou d’entraînement<br /><strong></strong>
        <ul>
            <li><strong>business games</strong> dans le cadre de la simulation de gestion d’entreprise</li>        
            <li><strong>wargames</strong> dans le cadre de la simulation de conflit (l’une des origines du serious game, remontant à l’antiquité : apprendre la stratégie ou tester des stratégies et tactiques militaires sous la formes de jeux de simulation)</li>
        </ul>
      </li><li><strong>political games</strong> dans le cadre de la sensibilisation aux enjeux et problématiques géopolitiques (mini Union Européenne, jeux d’ambassades, mini-ONU, etc.)
    </li>
</ul>
<p>etc.</p>
<h4>Deux types d’objectifs à ne pas confondre<br /></h4>
<p>Dans un serious game, on distinguera :</p>
<ul>
    <li>les <strong>objectifs utilitaires</strong> liés à l’intention sérieuse (former, enseigner, communiquer, convaincre, fidéliser, séduire, promouvoir, entraîner, etc.) <br /></li>
    <li>les <strong>objectifs ludiques</strong> liés au jeu lui-même (collectionner tous les items, répondre à toutes les questions, arriver à la fin, arriver en premier, avoir tous les points, explorer un maximum d’endroits, résoudre les énigmes, etc.)</li>
</ul>
<p>Les <strong>objectifs ludiques</strong> doivent permettre d’<strong>engager</strong> le participant dans l’activité et de maintenir cet engagement, afin de l’exposer au maximum aux contenus à lui transmettre pour atteindre les <strong>objectifs utilitaires</strong>.<br /></p>"
"Game design","<p dir=""ltr"" style=""text-align:left;"">Processus par lequel un concepteur crée un jeu, destiné à être utilisé par un joueur, afin que naisse une expérience de jeu.<br /></p>",
"Jeu (activité)","<p dir=""ltr"" style=""text-align:left;"">Activité divertissante, soumise ou non à des règles, pratiquée de manière désintéressée.<br /></p>",
"Jeu (support)","<p dir=""ltr"" style=""text-align:left;"">Ensemble des procédés et matériaux par lesquels l’activité de jeu peut être matérialisée et réalisée.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">La finalité principale du support de jeu est double :</p><ul><li>donner un cadre permettant au joueur d’agir, et d’appliquer les règles du jeu en réponse aux actions du joueur (par exemple l’échiquier délimite l’action des pièces d’échec, et la forme des pièces permet d’en connaître les possibilités de déplacement)<br /></li><li>permettre de retenir l’état actuel du jeu en mémorisant l’état des chacun des éléments qui le composent à des moments clés (l’ordre des cartes dans un jeu de cartes, la position des pièces et pions dans un jeu de plateau, etc.).<br /></li></ul>"
DICE (modèle),"<p dir=""ltr"" style=""text-align:left;""><strong>D</strong>éfinir, <strong>I</strong>maginer, <strong>C</strong>réer, <strong>É</strong>valuer.<br /></p><p dir=""ltr"" style=""text-align:left;"">Modèle représentant la série d’étapes de création d’un serious game pédagogique.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Tout comme le modèle ADDIE pour la conception pédagogique, le modèle générique DICE décrit une suite d’étapes pour la conception de serious games pédagogiques :</p>
<ul>
    <li><strong>D</strong>éfinir le contenu sérieux<ul>
            <li>besoins d’apprentissage</li>
            <li>objectifs d’apprentissage</li>
            <li>matière et contenus d’apprentissage</li>
            <li>etc.<br /></li>
        </ul>
    </li>
    <li><strong>I</strong>maginer un principe de jeu<ul>
            <li>créer un concept de toute pièce (serious game), utiliser tel quel un jeu existant (serious gaming), modifier un jeu existant pour qu’il réponde aux objectifs d’apprentissage (dégamification)</li>
        </ul>
    </li>
    <li><strong>C</strong>réer le support de jeu fonctionnel</li>
    <li><strong>É</strong>valuer la pertinence et l’efficacité du jeu<br /></li>
</ul>"
"Instructionnisme, instructionniste","<p dir=""ltr"" style=""text-align:left;"">Théorie selon laquelle la connaissance s’acquiert sous la forme d’un contenu transmis de l’enseignant à l’élève par différents media et différentes méthodes transmissives.<br />Le terme ""instructionnisme"" est plutôt utilisé par les détracteurs de la pédagogie transmissive et explicite par opposition à la pédagogie constructiviste qu’ils défendent.<br /></p><p dir=""ltr"" style=""text-align:left;""><em>Opposé à : constructivisme, constructionnisme</em><br /></p>","<p dir=""ltr"" style=""text-align:left;"">Dans le cadre des jeux d’apprentissage, l’approche consiste à utiliser des jeux comme support d’apprentissage, pour transmettre du savoir.<br /></p><p dir=""ltr"" style=""text-align:left;"">Il s’agit de mettre les apprenants en situation de joueurs, et de les exposer aux contenus pédagogiques par la pratique du jeu.<br /></p>"
Gamifier,"<p dir=""ltr"" style=""text-align:left;"">Ajouter des mécanismes issus du jeu à une activité ou un parcours ""sérieux"" pour favoriser l’engagement des utilisateurs, participants ou apprenants.<br /></p>",
Fun,"<p dir=""ltr"" style=""text-align:left;""><strong>Easy fun</strong> (la curiosité vient de l'exploration) ; <strong>Hard fun</strong> (provient du plaisir d'avoir atteint un objectif principal) ; <strong>People fun</strong> (l'amusement vient de la compétition et de la coopération) et enfin le <strong>Serious fun</strong> (l'impact que nous avons sur le monde qui nous entoure).<br /></p>","<p>Les 4 clés du fun sont un modèle pratique créé par XEODesign pour mieux comprendre les raisons cachées derrière les succès des jeux. Ce modèle aide ainsi les concepteurs de jeux et de gamification à générer de l’engagement pour correspondre aux attentes de leur public.</p><p>Utilisez ces clefs pour analyser le type d'expérience que les utilisateurs attendent et comment le concevoir en ce sens.</p><p>Source : <span>
                                                        Duarte, A. &amp; Bru, S. (2021). Outil 4. La typologie des joueurs de Bartle. Dans : , A. Duarte &amp; S. Bru (Dir), <i>La boîte à outils de la gamification</i> (pp. 22-25). Paris: Dunod. <a href=""https://univ-scholarvox-com.ressources-electroniques.univ-lille.fr/book/88913254"" target=""_blank"" rel=""noreferrer noopener"">https://univ-scholarvox-com.ressources-electroniques.univ-lille.fr/book/88913254</a></span><br /></p>"
"Récompenses aléatoires","Les récompenses aléatoires sont des récompenses obtenues par vos utilisateurs suite à la complétion d’une tâche ou suite à une action, alors même qu’ils ne s’y attendaient pas.","<h3 dir=""ltr"" style=""text-align:left;"">Objectifs :</h3><ol><li>Générer davantage d’engagement grâce à la sensation de plaisir ressentie par les utilisateurs qui sont dans l’attente de savoir quelle récompense ils vont obtenir.</li><li>Créer de la rejouabilité en incitant les utilisateurs à tenter leur chance à plusieurs reprises jusqu’à obtenir la récompense qui les intéresse le plus.</li></ol><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.00.37.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""872"" height=""516"" /><br /></p>"
Compétition,"La compétition crée les conditions pour que vos utilisateurs s’affrontent et se comparent afin de déterminer qui est le meilleur selon des critères définis en amont de l’expérience. La compétition est cependant une épée à double tranchant : si elle est très efficace pour motiver dans certaines situations, elle peut également décourager les utilisateurs les moins compétitifs et les éloigner de votre produit ou service.","<h3>Objectif<br /></h3><p>Opposer des utilisateurs ou groupes d’utilisateurs dans la recherche d’un même objectif.</p><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.01.15.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""848"" height=""612"" /><br /></p>"
